,Name,Sex,Year,Last_Status,VT_BW
80446,Maltese,2,15.0,2,1.95
80447,Maltese,2,15.0,2,1.99
80448,Maltese,2,15.0,2,1.9
80449,Maltese,2,16.0,2,2.0
80450,Maltese,2,16.0,2,2.0
80451,Maltese,2,16.0,2,2.0
80452,Maltese,2,16.0,2,1.97
80453,Maltese,2,16.0,2,1.9
80454,Maltese,2,16.0,2,1.9
80455,Maltese,2,16.0,2,1.82
80456,Maltese,2,16.0,2,1.8
80457,Maltese,2,16.0,2,1.7
80458,Maltese,2,16.0,2,1.9
80459,Maltese,2,16.0,2,1.9
80460,Maltese,2,16.0,2,1.87
80461,Maltese,2,16.0,2,1.8
80462,Maltese,2,16.0,2,1.9
80463,Maltese,2,16.0,2,1.9
80464,Maltese,2,16.0,2,1.8
80465,Maltese,2,16.0,2,1.9
80466,Maltese,2,16.0,2,1.8
80467,Maltese,2,16.0,2,1.8
80468,Maltese,2,16.0,2,1.8
80469,Maltese,2,16.0,2,1.8
80470,Maltese,2,16.0,2,1.8
80471,Maltese,2,16.0,2,1.8
80472,Maltese,2,16.0,2,1.75
80473,Maltese,2,16.0,2,1.85
80474,Maltese,2,16.0,2,1.89
80475,Maltese,2,16.0,2,1.87
80476,Maltese,2,16.0,2,1.8
80477,Maltese,2,16.0,2,1.7
80478,Maltese,2,16.0,2,1.9
80479,Maltese,2,16.0,2,1.9
80480,Maltese,2,16.0,2,1.8
80481,Maltese,2,16.0,2,1.8
80482,Maltese,2,16.0,2,1.8
80483,Maltese,2,16.0,2,1.7
80484,Maltese,2,16.0,2,1.73
80485,Maltese,2,16.0,2,1.8
80486,Maltese,2,16.0,2,1.8
80487,Maltese,2,16.0,2,1.7
80488,Maltese,2,16.0,2,1.8
80489,Maltese,2,16.0,2,1.7
80490,Maltese,2,16.0,2,1.6
80491,Maltese,2,16.0,2,1.6
80492,Maltese,2,17.0,2,1.6
80493,Maltese,2,17.0,2,1.6
80494,Maltese,2,17.0,2,1.7
80495,Maltese,2,17.0,2,1.65
80496,Maltese,2,17.0,2,1.5
80497,Maltese,2,17.0,2,1.4
80498,Maltese,2,17.0,2,1.3
80499,Poodle,3,3.0,0,6.3
80509,Pomeranian,1,0.0,0,1.27
80510,Yorkshire Terrier,2,2.0,0,2.58
80511,Maltese,2,8.0,0,3.5
